id;data_abertura;data_fechamento;prioridade;observacoes;status;tecnico_id;cliente_id
1;2023-05-29T03:26:07;2023-05-29T03:26:07;MEDIA;Operations transmitter Automotivo;ABERTO;2;3
2;2023-05-29T03:26:07;2023-05-28T03:26:07;ALTA;Marginal;ABERTO;3;4
3;2023-05-28T03:26:07;2023-05-29T03:26:07;BAIXA;Refinado compress Ferramentas;EMANDAMENTO;5;1
4;2023-05-28T03:26:07;2023-05-29T03:26:07;MEDIA;payment Peixe portals;EMANDAMENTO;3;2
5;2023-05-29T03:26:07;2023-05-29T03:26:07;MEDIA;Self-enabling;EMANDAMENTO;4;2
6;2023-05-28T03:26:07;2023-05-29T03:26:07;BAIXA;index Berkshire;EMANDAMENTO;5;1
7;2023-05-29T03:26:07;2023-05-28T03:26:07;BAIXA;Persistent open-source Som;ABERTO;1;2
8;2023-05-29T03:26:07;2023-05-29T03:26:07;BAIXA;Representative Travessa;ENCERRADO;3;4
9;2023-05-29T03:26:07;2023-05-28T03:26:07;ALTA;Metal Maranhão Dynamic;ABERTO;5;4
10;2023-05-29T03:26:07;2023-05-29T03:26:07;MEDIA;Pizza;ABERTO;3;3
